department,education,gender,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,avg_training_score,,3,
Technology,Bachelors,Male,1,27,3,1,0,80,,1,
Operations,Bachelors,Female,1,30,3,3,0,59,,1,
Operations,Bachelors,Female,1,31,5,5,1,62,,1,
Operations,Masters & above,Female,1,34,1,4,0,65,,1,
Operations,Bachelors,Female,1,33,3,9,0,59,,1,
Procurement,Bachelors,Female,1,27,2,3,0,70,,1,
Procurement,Bachelors,Male,1,39,5,4,1,77,,1,
Operations,Masters & above,Female,1,42,5,16,1,60,,1,
Operations,Bachelors,Male,1,43,4,12,0,57,,1,
Operations,Masters & above,Male,1,44,4,7,0,55,,1,
Operations,Masters & above,Male,1,49,5,4,0,62,,1,
Technology,Bachelors,Male,2,35,1,8,0,78,,1,
Sales & Marketing,Bachelors,Male,1,37,4,10,0,45,,1,
Procurement,Bachelors,Female,1,26,1,2,0,70,,1,
Technology,Masters & above,Male,1,31,3,7,0,80,,1,
Sales & Marketing,Bachelors,Male,1,33,5,7,1,53,,1,
Sales & Marketing,Bachelors,Male,1,31,3,6,1,49,,1,
Operations,Masters & above,Male,1,54,4,16,1,61,,1,
Operations,Bachelors,Male,2,31,5,4,1,60,,1,
Technology,Bachelors,Female,1,27,2,4,0,79,,1,
Finance,Bachelors,Male,2,28,3,3,0,54,,1,
Procurement,Bachelors,Female,1,31,1,6,0,73,,1,
Analytics,Masters & above,Male,1,42,3,10,0,88,,1,
Technology,Masters & above,Female,1,35,4,8,0,78,,1,
Sales & Marketing,Masters & above,Male,2,32,1,9,0,43,,1,
HR,Masters & above,Male,1,41,3,8,0,51,,1,
Sales & Marketing,Masters & above,Male,1,37,3,3,1,53,,3,
Technology,Bachelors,Female,1,23,N/A,1,0,82,,1,
HR,Bachelors,Female,1,29,3,5,1,50,,1,
Technology,Bachelors,Male,2,39,3,9,0,78,,1,
Operations,Bachelors,Male,1,35,3,4,1,53,,3,
Sales & Marketing,Bachelors,Female,1,28,N/A,1,1,50,,1,
Operations,Masters & above,Male,2,44,5,6,1,64,,1,
Finance,Bachelors,Male,1,34,1,4,0,57,,1,
Sales & Marketing,N/A,Male,1,33,3,7,0,47,,1,
HR,Bachelors,Female,1,25,5,3,1,47,,3,
Operations,Bachelors,Female,1,27,N/A,1,1,60,,3,
Operations,Bachelors,Female,1,24,N/A,1,0,59,,1,
Sales & Marketing,Bachelors,Male,1,28,4,5,0,50,,1,
Sales & Marketing,Masters & above,Male,2,39,5,3,1,45,,1,
Procurement,Bachelors,Male,1,32,2,7,0,67,,1,
Sales & Marketing,N/A,Male,1,39,5,4,1,47,,1,
Operations,Bachelors,Male,1,31,3,3,0,61,,1,
Sales & Marketing,Bachelors,Female,1,26,4,3,0,48,,1,
Sales & Marketing,Bachelors,Male,1,32,5,4,0,46,,1,
Sales & Marketing,Masters & above,Male,2,32,1,2,0,48,,1,
Operations,Masters & above,Female,1,51,5,6,0,56,,1,
Procurement,Masters & above,Male,2,56,4,15,1,71,,1,
Procurement,Bachelors,Male,2,57,3,15,0,68,,1,
Sales & Marketing,N/A,Male,1,25,4,2,1,50,,1,
Sales & Marketing,Bachelors,Male,1,38,1,7,0,51,,1,
Operations,Bachelors,Male,1,29,4,2,1,61,,1,
Sales & Marketing,Bachelors,Male,1,34,3,7,0,51,,1,
Finance,N/A,Female,1,38,3,3,0,59,,1,
Analytics,Bachelors,Female,2,27,5,3,1,76,,1,
Procurement,Masters & above,Female,1,39,1,8,0,74,,1,
Sales & Marketing,Bachelors,Male,1,39,2,10,0,52,,1,
Operations,Masters & above,Female,1,43,5,6,0,75,,1,
Technology,Bachelors,Male,1,37,5,5,1,81,,1,
Technology,Bachelors,Male,2,28,3,4,0,82,,1,
Sales & Marketing,Masters & above,Male,2,51,5,18,0,61,,3,
Technology,Bachelors,Male,1,24,N/A,1,0,79,,3,
Finance,Bachelors,Male,2,30,N/A,1,0,60,,1,
Operations,Bachelors,Male,2,30,5,5,1,59,,1,
Procurement,Bachelors,Male,1,47,4,14,0,68,,1,
HR,Bachelors,Female,1,28,1,2,1,53,,1,
Technology,Bachelors,Male,1,39,2,5,0,81,,1,
Procurement,N/A,Female,1,29,4,4,0,72,,1,
Operations,Bachelors,Male,1,33,4,4,0,62,,1,
Operations,Bachelors,Male,2,31,5,5,1,61,,1,
Sales & Marketing,Bachelors,Female,1,25,2,2,0,47,,1,
Analytics,Bachelors,Male,2,27,3,4,1,85,,1,
Operations,Masters & above,Female,1,41,3,8,0,61,,1,
Finance,Bachelors,Male,3,30,5,4,0,75,,1,
Sales & Marketing,Bachelors,Female,1,32,5,5,1,49,,1,
Sales & Marketing,Bachelors,Male,1,45,3,7,0,48,,1,
Finance,Masters & above,Female,1,33,5,3,0,60,,1,
Technology,Bachelors,Male,1,31,4,5,1,76,,1,
Analytics,Bachelors,Male,1,49,2,19,0,83,,1,
Legal,Bachelors,Male,1,28,3,5,0,58,,1,
Technology,N/A,Female,2,44,2,7,0,77,,1,
Technology,Bachelors,Female,1,32,1,5,0,78,,1,
Operations,Masters & above,Male,2,41,5,11,0,60,,1,
Sales & Marketing,Bachelors,Male,1,40,3,7,0,52,,1,
HR,Bachelors,Male,1,40,3,3,0,49,,1,
Operations,Bachelors,Female,1,31,3,3,1,59,,1,
Sales & Marketing,Masters & above,Male,1,48,1,17,0,55,,1,
Procurement,Bachelors,Male,1,49,3,8,0,67,,1,
Sales & Marketing,Bachelors,Male,1,39,5,12,0,50,,1,
Procurement,Masters & above,Male,1,55,4,17,1,65,,3,
Analytics,Bachelors,Male,1,25,N/A,1,1,86,,1,
Analytics,Bachelors,Female,1,27,3,4,0,94,,1,
Sales & Marketing,N/A,Male,1,33,3,6,0,52,,1,
Technology,Masters & above,Male,1,38,5,9,1,76,,1,
HR,Masters & above,Female,1,34,4,7,0,48,,1,
Procurement,Bachelors,Female,1,31,4,5,1,70,,1,
Finance,Bachelors,Male,2,29,3,4,1,62,,1,
Analytics,Masters & above,Male,2,30,3,4,1,78,,1,
Technology,Masters & above,Female,1,32,4,6,1,81,,1,
Sales & Marketing,N/A,Male,1,34,4,3,0,49,,3,
Operations,Bachelors,Male,1,28,N/A,1,0,60,,1,
Technology,Bachelors,Female,1,29,2,2,0,80,,1,
Technology,Masters & above,Male,1,42,4,7,0,82,,1,
Sales & Marketing,Bachelors,Male,1,25,3,3,0,52,,1,
Operations,Masters & above,Male,1,38,3,8,0,58,,1,
Technology,Bachelors,Male,3,28,4,2,1,77,,1,
Sales & Marketing,Bachelors,Female,1,40,5,4,0,50,,1,
Procurement,Bachelors,Female,1,39,4,5,1,67,,1,
Sales & Marketing,N/A,Male,1,38,3,10,0,50,,1,
Operations,Bachelors,Female,1,30,5,8,1,60,,1,
Technology,Masters & above,Female,1,30,3,7,0,79,,1,
Sales & Marketing,Bachelors,Male,1,36,5,3,0,51,,1,
Sales & Marketing,Bachelors,Male,1,42,3,8,1,51,,1,
Operations,Bachelors,Male,1,24,1,2,0,59,,1,
Technology,Masters & above,Male,2,37,3,7,0,76,,1,
Procurement,Bachelors,Female,1,31,4,4,1,69,,1,
Technology,Masters & above,Male,1,32,4,7,0,80,,1,
Legal,Bachelors,Male,1,31,3,5,1,58,,1,
Technology,Bachelors,Male,1,38,3,4,0,80,,1,
Operations,Bachelors,Male,1,29,5,4,1,55,,1,
Operations,Bachelors,Male,2,32,3,7,0,58,,1,
Finance,Bachelors,Male,1,57,3,13,1,60,,1,
HR,Bachelors,Male,1,27,2,3,1,52,,1,
Legal,Bachelors,Female,1,32,4,6,1,61,,1,
Operations,Bachelors,Male,1,40,4,7,0,57,,1,
Procurement,Masters & above,Female,2,55,4,4,0,68,,1,
Sales & Marketing,Bachelors,Male,1,32,2,10,0,45,,3,
Sales & Marketing,Bachelors,Male,1,26,N/A,1,1,51,,1,
Procurement,Masters & above,Male,1,34,5,5,1,65,,1,
Procurement,Bachelors,Female,3,45,3,5,0,68,,1,
Operations,Below Secondary,Male,1,27,1,5,0,59,,1,
Sales & Marketing,Bachelors,Male,1,30,1,5,0,49,,1,
Sales & Marketing,Bachelors,Male,1,53,5,10,0,49,,1,
Technology,Bachelors,Male,1,29,3,4,0,80,,1,
Legal,Bachelors,Female,1,29,3,5,0,57,,1,
Technology,Masters & above,Male,1,41,4,6,1,83,,3,
Sales & Marketing,Bachelors,Female,1,28,N/A,1,1,52,,1,
Analytics,Bachelors,Male,1,37,3,4,0,83,,1,
Sales & Marketing,Bachelors,Male,1,48,5,16,0,49,,1,
Operations,Bachelors,Male,1,29,3,2,0,58,,1,
Technology,Bachelors,Female,1,33,4,4,0,78,,1,
Technology,Masters & above,Male,1,41,4,5,0,79,,1,
Technology,Masters & above,Female,1,35,3,3,0,79,,1,
Sales & Marketing,Bachelors,Female,4,27,2,3,0,51,,1,
Sales & Marketing,Bachelors,Male,2,29,3,2,0,49,,1,
Sales & Marketing,Masters & above,Male,1,50,5,18,0,49,,1,
Procurement,Bachelors,Male,1,31,3,6,0,73,,1,
Operations,Bachelors,Male,2,42,4,10,0,58,,1,
Operations,Bachelors,Male,1,34,1,3,0,62,,1,
Operations,Masters & above,Female,1,38,4,7,0,62,,1,
R&D,Bachelors,Male,1,27,5,2,1,78,,1,
Sales & Marketing,Bachelors,Female,1,28,5,3,1,48,,1,
Procurement,Masters & above,Female,1,34,3,3,1,71,,1,
Sales & Marketing,Masters & above,Male,2,38,5,8,1,50,,1,
Analytics,Masters & above,Male,1,33,5,10,1,86,,1,
Procurement,Masters & above,Female,1,35,5,7,1,71,,1,
Procurement,Masters & above,Male,1,32,3,6,1,67,,1,
Operations,Masters & above,Female,1,40,3,3,1,58,,1,
Technology,Bachelors,Male,1,44,1,3,0,74,,1,
Finance,Bachelors,Male,1,31,4,7,1,59,,1,
Procurement,Masters & above,Female,1,33,3,7,1,76,,1,
HR,Bachelors,Female,1,55,4,25,0,52,,1,
Analytics,Bachelors,Male,2,29,3,3,0,87,,1,
Sales & Marketing,Bachelors,Female,1,31,5,7,0,50,,1,
Sales & Marketing,Masters & above,Male,1,36,2,5,0,48,,1,
HR,Bachelors,Male,1,27,3,2,1,51,,1,
Operations,Bachelors,Female,1,30,3,6,0,58,,1,
Operations,Bachelors,Male,1,33,3,3,0,59,,1,
Operations,Bachelors,Male,1,28,3,2,0,59,,1,
Operations,Masters & above,Female,2,33,3,3,1,59,,1,
Operations,Bachelors,Male,1,27,3,3,0,70,,1,
R&D,Bachelors,Male,3,30,5,2,1,86,,1,
Analytics,Masters & above,Male,2,42,3,7,1,80,,1,
Analytics,Masters & above,Male,1,35,3,9,1,84,,1,
Procurement,Bachelors,Female,1,32,3,10,0,70,,1,
HR,Bachelors,Male,1,29,2,5,0,52,,1,
Sales & Marketing,Bachelors,Male,1,27,3,6,0,51,,3,
Procurement,Bachelors,Male,2,26,N/A,1,1,67,,3,
Operations,Bachelors,Female,1,28,N/A,1,0,57,,1,
Procurement,Bachelors,Male,1,33,5,3,1,73,,3,
Analytics,Bachelors,Male,1,24,N/A,1,0,85,,1,
Sales & Marketing,N/A,Male,1,34,4,2,0,50,,3,
Technology,Bachelors,Male,1,25,N/A,1,0,82,,1,
Analytics,Bachelors,Male,1,30,3,5,0,78,,1,
Technology,Bachelors,Female,1,28,3,3,0,79,,1,
Sales & Marketing,Bachelors,Male,1,42,5,13,0,51,,1,
Operations,Masters & above,Female,1,40,4,5,0,64,,1,
Operations,Bachelors,Male,1,36,5,5,1,61,,1,
Procurement,Bachelors,Female,1,32,5,7,1,70,,1,
HR,Bachelors,Female,1,29,2,4,0,49,,1,
Sales & Marketing,Masters & above,Female,1,48,5,5,1,51,,1,
Operations,Bachelors,Female,1,41,5,6,1,58,,3,
Sales & Marketing,N/A,Female,1,24,N/A,1,0,52,,1,
Operations,Bachelors,Female,1,41,5,5,1,61,,1,
Sales & Marketing,Bachelors,Male,1,28,5,3,0,49,,1,
Technology,Bachelors,Male,1,39,1,4,1,82,,1,
Sales & Marketing,Bachelors,Male,1,25,4,4,0,47,,1,
Procurement,Masters & above,Female,1,37,3,9,0,71,,1,
Operations,Masters & above,Male,1,45,5,2,1,61,,1,
Legal,Bachelors,Male,1,37,1,2,0,65,,1,
Procurement,Masters & above,Female,1,33,5,6,0,70,,1,
HR,Bachelors,Female,1,27,5,4,1,49,,3,
Sales & Marketing,Bachelors,Male,1,28,N/A,1,0,52,,1,
Technology,Masters & above,Female,2,35,2,5,0,83,,1,
Sales & Marketing,Bachelors,Male,1,26,3,5,1,49,,1,
Sales & Marketing,Bachelors,Female,1,33,3,5,1,53,,1,
Finance,Bachelors,Female,2,33,4,3,1,58,,1,
Sales & Marketing,Bachelors,Male,3,26,3,2,0,53,,1,
HR,Bachelors,Male,1,33,3,8,0,51,,1,
Operations,Bachelors,Male,1,33,3,5,0,61,,1,
Sales & Marketing,Bachelors,Female,1,29,1,2,1,48,,1,
Sales & Marketing,Bachelors,Male,1,30,2,2,0,50,,1,
Procurement,Masters & above,Male,2,40,3,3,0,69,,1,
Procurement,Masters & above,Female,1,30,3,6,1,68,,1,
Procurement,Masters & above,Female,1,34,4,7,0,70,,1,
R&D,Bachelors,Male,1,34,3,6,0,81,,1,
Operations,Bachelors,Male,1,42,5,16,1,60,,1,
Procurement,Masters & above,Female,1,36,3,11,0,72,,1,
Sales & Marketing,Masters & above,Male,1,39,5,9,0,50,,3,
Operations,Bachelors,Female,1,25,N/A,1,0,60,,1,
Procurement,Bachelors,Male,2,29,3,5,0,63,,3,
Sales & Marketing,N/A,Male,1,26,N/A,1,0,53,,1,
Finance,Bachelors,Female,1,53,5,4,1,60,,1,
Technology,Bachelors,Male,1,30,4,3,0,75,,1,
Procurement,Bachelors,Male,1,32,2,7,0,72,,1,
Analytics,Bachelors,Male,1,29,5,6,0,84,,1,
Procurement,Masters & above,Female,1,44,5,7,1,66,,1,
Technology,Bachelors,Male,1,32,2,5,0,79,,1,
Operations,Bachelors,Male,1,37,2,10,0,57,,1,
Procurement,Masters & above,Female,1,35,1,7,0,69,,1,
HR,Masters & above,Male,1,57,2,29,0,50,,1,
Sales & Marketing,Bachelors,Male,1,28,5,5,1,50,,3,
Sales & Marketing,N/A,Male,2,25,N/A,1,0,48,,1,
Operations,Bachelors,Male,1,40,5,5,1,61,,1,
Sales & Marketing,Bachelors,Male,1,35,1,2,0,52,,1,
Procurement,Masters & above,Female,1,29,4,2,0,68,,1,
HR,Bachelors,Male,1,30,3,6,0,50,,1,
Analytics,Bachelors,Male,1,30,5,2,1,84,,1,
Sales & Marketing,Bachelors,Female,1,30,2,4,0,49,,1,
Finance,Masters & above,Male,1,34,3,8,0,58,,1,
Analytics,Bachelors,Male,1,43,4,3,0,84,,1,
Technology,Masters & above,Female,1,59,4,16,1,84,,1,
Technology,Bachelors,Female,2,30,3,2,0,77,,1,
Operations,Masters & above,Female,1,41,5,3,1,65,,1,
Technology,Bachelors,Female,1,28,4,2,0,79,,1,
Technology,Bachelors,Male,1,30,1,5,0,81,,3,
Technology,Bachelors,Female,1,27,N/A,1,1,85,,1,
Sales & Marketing,Bachelors,Male,1,50,4,7,0,48,,1,
R&D,Bachelors,Male,1,31,5,3,0,84,,1,
Sales & Marketing,Bachelors,Male,1,23,4,2,0,48,,3,
Technology,Bachelors,Female,1,28,N/A,1,1,75,,1,
Sales & Marketing,N/A,Male,3,25,1,1,0,48,,1,
Operations,Bachelors,Female,1,36,5,7,0,55,,1,
Technology,Masters & above,Female,1,39,4,4,0,85,,3,
Sales & Marketing,N/A,Male,2,25,N/A,1,0,61,,1,
Technology,Bachelors,Male,1,42,5,4,1,82,,1,
Technology,Bachelors,Male,1,31,3,5,0,81,,1,
Sales & Marketing,Bachelors,Male,1,40,5,12,0,51,,1,
Legal,Below Secondary,Male,1,26,5,2,1,62,,1,
Operations,Bachelors,Male,1,44,5,16,1,56,,1,
Operations,Bachelors,Female,1,48,4,13,0,60,,3,
Sales & Marketing,N/A,Male,1,25,N/A,1,0,48,,1,
Procurement,Masters & above,Male,1,33,4,9,0,68,,1,
Technology,Bachelors,Male,1,33,5,2,1,79,,1,
Sales & Marketing,Bachelors,Male,1,29,4,6,1,54,,1,
Operations,Masters & above,Female,2,34,5,3,1,59,,1,
Operations,Bachelors,Female,1,32,4,3,1,62,,3,
HR,Below Secondary,Female,1,24,N/A,1,0,46,,1,
HR,Bachelors,Female,1,29,4,3,0,51,,1,
Sales & Marketing,Masters & above,Male,3,31,3,5,0,54,,3,
Procurement,Masters & above,Male,1,31,N/A,1,1,71,,1,
Analytics,N/A,Male,2,28,3,2,1,91,,1,
Sales & Marketing,Masters & above,Male,1,47,2,19,0,49,,1,
Operations,Masters & above,Male,1,49,4,18,1,60,,1,
HR,Bachelors,Female,1,26,4,2,0,50,,1,
Sales & Marketing,Masters & above,Male,1,45,4,6,0,49,,1,
Operations,Bachelors,Female,1,56,3,7,1,61,,1,
Operations,Bachelors,Female,1,27,5,3,1,63,,1,
Analytics,Bachelors,Male,1,26,5,3,1,83,,1,
Operations,Masters & above,Female,1,32,2,5,0,57,,1,
Sales & Marketing,Masters & above,Male,1,30,1,8,0,49,,1,
Sales & Marketing,Masters & above,Male,1,37,4,10,1,49,,1,
Operations,Masters & above,Male,1,42,1,10,0,60,,1,
Operations,Bachelors,Male,1,33,3,7,1,61,,3,
Sales & Marketing,Bachelors,Male,1,30,N/A,1,0,50,,1,
Operations,Bachelors,Female,1,30,4,3,1,58,,1,
Legal,Bachelors,Male,1,27,4,2,0,62,,1,
Finance,Bachelors,Male,1,32,5,5,1,58,,1,
Sales & Marketing,Masters & above,Male,1,42,3,13,1,51,,1,
Sales & Marketing,N/A,Male,1,30,2,3,0,50,,1,
Sales & Marketing,Bachelors,Male,1,33,4,3,0,51,,1,
Finance,Bachelors,Male,1,30,5,5,0,63,,1,
HR,Bachelors,Male,2,37,5,10,0,48,,1,
Technology,Masters & above,Male,1,60,3,7,0,79,,1,
Sales & Marketing,Bachelors,Male,1,45,3,3,0,48,,1,
Finance,Bachelors,Male,1,49,4,4,0,58,,1,
Technology,Masters & above,Male,1,48,3,19,0,85,,1,
Procurement,Masters & above,Male,1,60,3,19,0,69,,1,
Operations,Bachelors,Female,1,29,3,8,0,57,,1,
Technology,Bachelors,Female,1,36,3,9,1,79,,1,
Sales & Marketing,N/A,Male,1,39,5,3,0,50,,1,
Finance,Bachelors,Male,2,26,1,4,1,57,,1,
Sales & Marketing,Bachelors,Female,1,26,1,2,0,48,,1,
Sales & Marketing,Masters & above,Male,1,45,4,6,1,48,,1,
Sales & Marketing,Bachelors,Female,1,35,5,2,0,49,,1,
Operations,Masters & above,Male,1,34,4,4,1,59,,1,
Analytics,Masters & above,Male,1,33,4,6,1,94,,1,
Sales & Marketing,Bachelors,Male,1,31,3,8,0,50,,3,
Sales & Marketing,Bachelors,Female,1,23,N/A,1,0,47,,1,
Operations,Bachelors,Female,2,31,3,8,0,59,,1,
Operations,Bachelors,Female,1,29,4,2,1,61,,1,
Sales & Marketing,Bachelors,Male,1,44,2,3,0,53,,1,
Sales & Marketing,Bachelors,Male,1,29,3,6,0,51,,1,
Technology,Bachelors,Female,1,28,3,3,0,81,,1,
Operations,Bachelors,Female,1,25,4,3,1,60,,1,
Procurement,Masters & above,Male,1,41,3,4,0,71,,1,
Technology,Bachelors,Female,1,25,3,2,0,77,,1,
Technology,Bachelors,Male,1,32,3,5,0,80,,1,
Procurement,Bachelors,Female,1,40,4,10,1,67,,1,
Operations,Bachelors,Male,1,29,3,1,1,55,,1,
Procurement,Masters & above,Female,1,41,5,11,0,71,,1,
Sales & Marketing,N/A,Male,1,25,2,3,1,57,,1,
Operations,Bachelors,Male,1,31,5,4,0,59,,3,
Technology,Bachelors,Male,1,26,N/A,1,1,87,,3,
Sales & Marketing,Bachelors,Male,6,28,N/A,1,0,52,,1,
Sales & Marketing,Masters & above,Male,1,46,4,7,1,54,,1,
Finance,Bachelors,Male,2,24,4,2,1,67,,1,
Operations,Bachelors,Female,1,30,3,5,0,58,,1,
Sales & Marketing,Masters & above,Male,1,36,2,7,0,51,,1,
Sales & Marketing,Bachelors,Male,1,44,1,17,0,46,,1,
Operations,Bachelors,Male,2,35,3,8,0,61,,1,
Operations,Bachelors,Male,1,30,4,6,1,58,,1,
Technology,Bachelors,Male,1,45,3,3,0,78,,1,
Sales & Marketing,Bachelors,Male,2,31,2,3,0,46,,1,
Finance,Bachelors,Male,1,27,2,3,0,61,,1,
Operations,Bachelors,Male,1,37,4,7,0,61,,3,
Sales & Marketing,Bachelors,Male,1,28,N/A,1,0,48,,1,
Sales & Marketing,Masters & above,Male,1,38,1,10,0,41,,1,
Procurement,Bachelors,Male,1,37,3,5,1,69,,3,
HR,Bachelors,Female,1,25,N/A,1,0,49,,3,
Sales & Marketing,N/A,Male,1,24,N/A,1,0,50,,1,
Sales & Marketing,Bachelors,Male,1,48,5,3,0,55,,3,
Analytics,Bachelors,Male,2,29,N/A,1,1,86,,1,
Operations,Bachelors,Male,1,29,3,3,0,57,,1,
Operations,Masters & above,Male,1,42,4,4,0,60,,3,
Sales & Marketing,Bachelors,Male,1,29,N/A,1,0,48,,3,
Procurement,Below Secondary,Male,1,22,N/A,1,0,68,,1,
HR,Masters & above,Male,1,38,4,8,1,49,,1,
Sales & Marketing,Bachelors,Male,1,35,3,7,0,42,,1,
HR,Bachelors,Female,1,27,5,3,0,48,,1,
Sales & Marketing,Masters & above,Male,1,39,5,7,0,49,,1,
Analytics,Bachelors,Male,1,55,3,12,0,81,,1,
Operations,Bachelors,Male,1,45,5,13,1,57,,1,
R&D,Masters & above,Male,1,34,5,10,1,83,,1,
Analytics,Masters & above,Male,1,27,3,5,0,81,,1,
Legal,Bachelors,Male,1,32,5,3,0,57,,1,
Analytics,Bachelors,Male,1,34,1,6,0,83,,3,
Operations,Bachelors,Female,1,23,N/A,1,1,59,,1,
Sales & Marketing,Bachelors,Male,1,40,4,10,0,49,,1,
Analytics,Bachelors,Male,1,31,3,4,1,84,,1,
Operations,Masters & above,Male,1,49,3,12,0,60,,1,
Analytics,Bachelors,Male,1,30,3,2,1,85,,1,
Operations,Bachelors,Female,1,30,1,5,0,59,,1,
HR,Bachelors,Female,1,35,5,10,1,50,,1,
Legal,Bachelors,Male,1,32,5,5,0,56,,1,
Sales & Marketing,Bachelors,Male,1,31,4,6,0,50,,1,
Analytics,Bachelors,Male,1,34,4,7,1,85,,1,
Procurement,Bachelors,Female,1,32,2,7,0,68,,1,
HR,Bachelors,Male,1,25,5,2,0,49,,1,
Sales & Marketing,Bachelors,Male,1,35,4,3,0,49,,1,
Finance,Bachelors,Male,1,31,3,6,0,62,,1,
Sales & Marketing,Bachelors,Male,1,31,1,4,0,48,,1,
Operations,Bachelors,Male,1,33,5,6,0,60,,1,
Procurement,Masters & above,Female,1,35,5,12,0,72,,1,
Procurement,Masters & above,Male,1,32,1,3,0,68,,1,
Sales & Marketing,Masters & above,Male,1,36,4,8,1,55,,1,
Sales & Marketing,Masters & above,Male,1,48,5,8,0,49,,1,
Technology,Bachelors,Male,1,36,4,2,1,78,,1,
Operations,Bachelors,Male,1,45,4,16,0,56,,1,
Sales & Marketing,Bachelors,Female,1,29,3,4,1,44,,3,
Legal,Bachelors,Male,1,31,N/A,1,0,58,,1,
Operations,Bachelors,Male,1,27,1,3,0,60,,1,
Sales & Marketing,Bachelors,Male,3,30,1,7,0,49,,1,
Operations,N/A,Female,1,29,5,5,1,62,,3,
Sales & Marketing,Bachelors,Male,1,23,N/A,1,0,47,,3,
Sales & Marketing,Bachelors,Male,2,26,N/A,1,0,50,,1,
Procurement,Bachelors,Female,1,32,5,6,1,69,,1,
Analytics,Bachelors,Male,1,39,3,8,1,89,,1,
Sales & Marketing,Bachelors,Male,1,40,5,14,0,50,,1,
Sales & Marketing,Bachelors,Male,1,28,3,5,1,45,,1,
Operations,Below Secondary,Male,1,23,3,2,0,55,,1,
Sales & Marketing,Bachelors,Male,1,48,5,16,0,49,,1,
Sales & Marketing,Masters & above,Female,1,39,5,4,0,49,,1,
Procurement,Masters & above,Female,1,36,3,9,0,67,,1,
Operations,Masters & above,Male,2,39,5,9,1,61,,1,
Procurement,Bachelors,Male,1,47,4,2,1,76,,1,
Procurement,Masters & above,Female,1,32,2,7,0,72,,1,
Operations,Masters & above,Male,1,48,4,8,0,59,,1,
Operations,Bachelors,Male,1,36,3,4,0,58,,1,
Technology,Masters & above,Female,1,35,3,4,1,77,,1,
Finance,Bachelors,Male,4,32,3,4,0,57,,1,
Operations,Below Secondary,Male,1,25,3,3,0,61,,1,
HR,Masters & above,Male,1,55,3,3,0,52,,1,
Procurement,Bachelors,Male,2,43,3,6,0,70,,1,
Analytics,Bachelors,Male,1,33,5,6,1,83,,1,
Technology,Masters & above,Male,1,48,3,7,1,77,,1,
Sales & Marketing,Bachelors,Male,2,34,3,4,0,50,,1,
Finance,Bachelors,Female,1,30,5,3,1,55,,1,
Technology,Masters & above,Male,1,40,1,2,1,78,,1,
Sales & Marketing,Bachelors,Male,1,34,4,2,0,52,,1,
Sales & Marketing,Masters & above,Male,1,32,5,3,1,47,,1,
Technology,Masters & above,Female,2,33,4,5,0,88,,1,
Sales & Marketing,N/A,Female,1,23,3,2,0,50,,1,
Operations,Bachelors,Male,2,40,3,9,1,58,,1,
Operations,Masters & above,Male,1,47,4,4,1,56,,1,
Analytics,Bachelors,Male,1,43,3,17,0,86,,1,
HR,Masters & above,Male,1,54,3,12,1,47,,1,
Analytics,Bachelors,Male,1,35,3,5,0,86,,1,
Sales & Marketing,Bachelors,Male,1,29,3,5,0,50,,1,
Analytics,Bachelors,Female,1,28,2,4,0,81,,1,
Technology,Masters & above,Female,2,36,3,2,0,80,,1,
Analytics,N/A,Male,1,28,5,5,1,82,,1,
Finance,Bachelors,Male,1,27,1,1,1,62,,1,
Procurement,Masters & above,Male,1,52,5,17,1,71,,1,
Operations,Bachelors,Male,2,31,5,3,0,63,,1,
Procurement,Bachelors,Female,1,31,5,3,1,72,,1,
Sales & Marketing,Masters & above,Male,1,35,1,4,1,53,,1,
Operations,Bachelors,Male,1,35,5,10,0,62,,1,
Sales & Marketing,Masters & above,Male,1,33,1,8,0,48,,1,
Sales & Marketing,Masters & above,Male,2,34,4,9,1,51,,1,
Operations,Masters & above,Male,1,37,3,5,1,58,,1,
Sales & Marketing,Bachelors,Male,1,30,2,5,0,45,,1,
Finance,Masters & above,Female,1,36,3,9,0,55,,1,
Analytics,Bachelors,Male,1,27,5,3,1,87,,1,
Technology,Masters & above,Male,2,36,3,8,0,76,,1,
Sales & Marketing,N/A,Male,1,23,4,2,0,47,,3,
Analytics,Bachelors,Male,1,27,N/A,1,1,86,,1,
HR,N/A,Male,1,30,5,7,1,50,,1,
HR,Bachelors,Male,1,26,3,3,0,52,,1,
Technology,Bachelors,Male,1,30,3,9,0,79,,1,
Technology,Bachelors,Male,1,30,1,5,0,80,,1,
Procurement,Bachelors,Female,1,30,3,4,1,72,,1,
Procurement,Bachelors,Female,1,35,2,6,0,71,,1,
Technology,Bachelors,Male,2,28,1,1,0,78,,1,
Procurement,Bachelors,Male,1,30,1,7,0,63,,1,
Legal,Bachelors,Male,1,29,2,4,0,59,,1,
HR,Masters & above,Male,1,33,2,5,0,50,,1,
Operations,Masters & above,Male,1,50,3,19,1,58,,1,
Technology,Masters & above,Male,1,33,4,7,1,76,,1,
Operations,Masters & above,Female,1,54,2,7,0,62,,1,
Sales & Marketing,Bachelors,Male,1,26,4,3,1,52,,1,
Sales & Marketing,Bachelors,Male,2,32,2,7,1,47,,1,
Operations,Bachelors,Male,2,32,3,5,0,62,,1,
Analytics,Bachelors,Male,1,34,4,2,1,80,,1,
Operations,Masters & above,Female,1,34,4,3,1,55,,1,
